The Mist,The Weinstein Company,72,64,Monster Force,Horror,2423,3686,25.59,31.24,56.83,18.00,315.72%,8.9,,,,,$25593755,31235392,$56829147,18000000
The Nanny Diaries,The Weinstein Company,33,52,Discovery,Comedy,2629,2845,25.93,21.07,47.00,20.00,235.00%,7.5,,,,,$25930652,21069299,$46999951,20000000
The Reaping,,9,53,Quest,Horror,2603,3851,25.13,37.64,62.77,40.00,156.93%,10,,,,,$25126214,37644845,$62771059,40000000
The Simpsons Movie,Fox,90,78,Maturation,Comedy,3922,18877,183.14,343.93,527.07,75.00,702.76%,74,,,,,183135014,343932723,527067737,75000000
There Will Be Blood,Paramount,91,84,Wretched Excess,Drama,885,5502,40.22,35.96,76.18,25.00,304.73%,4.9,Best Actor,Leading Actor,,,40222514,35959017,76181531,25000000
TMNT,,33,63,Monster Force,Action,3110,7799,54.15,40.86,95.01,35.00,271.46%,24.3,,,,,54149098,40860790,95009888,35000000
Transformers,Paramount,57,89,Monster Force,Action,4011,17577,319.25,389.03,708.27,150.00,472.18%,70.5,,,,,319246193,389026388,708272581,150000000
Tyler Perry's Why Did I get Married,Independent,46,47,Love,Romance,2011,10618,55.20,0.66,55.86,15.00,372.42%,21.4,,,,,55204525,658361,55862886,15000000
Vacancy,Sony,55,46,Pursuit,Comedy,2551,2980,19.36,15.94,35.30,19.00,185.79%,7.6,,,,,$19363565,15937080,$35300645,19000000
Waitress,Independent,89,67,Love,Romance,605,3327,19.07,3.10,22.18,2.00,1108.97%,2,,,,,$19074800,3104683,$22179483,2000000
Walk Hard: The Dewey Cox Story,Sony,75,55,Comedy,Comedy,2650,1575,18.32,2.26,20.58,35.00,58.79%,4.1,,,,,$18317151,2258092,$20575243,35000000
We Own the Night,Sony,55,63,Sacrifice,Drama,2362,4583,28.56,26.26,54.83,21.00,261.08%,10.8,,,,,$28563179,26262756,$54825935,21000000
Wild Hogs,Disney,14,72,Transformation,Comedy,3287,12077,168.27,85.35,253.63,90.00,281.81%,39.7,,,,,168273550,85351877,253625427,90000000
Zodiac,Paramount,89,73,Pursuit,Thriller,2362,5671,33.08,51.71,84.79,65.00,130.44%,13.4,,,,,$33080084,51705830,$84785914,65000000
Average,,46,58,,,,,60.73,74.31,134.54,48.33,278.38%,19.60,,,,,,,,,
"10,000 B.C.",Warner Bros.,9,44,Rescue,Adventure,3410,10518,94.78,175.00,269.78,105.00,256.94%,35.9,,,,,$94784201,,$269.1,$105000000,$105
21,Sony,35,73,quest,Crime,2648,9103,81.16,76.69,157.85,35.00,451.00%,24.1,,,http://www.the-numbers.com/movies/2008/21.php,,$81159365,76693167,$157.9,$35000000,$35
27 Dresses,Fox,40,71,Love,Comedy,3057,7526,76.81,83.50,160.31,30.00,534.36%,23.01,,,,,$76808654,,$160.3,$30000000,$30
88 Minutes,Sony,5,51,The Riddle,Drama,2168,3209,17.21,15.37,32.58,30.00,108.60%,7,,,,,$16930884,$15379918,$32310802,$30000000,$30
Appaloosa,Warner Bros.,77,55,Rescue,Action,1045,4833,20.07,7.52,27.59,20.00,137.95%,5,,,,,$20070952,,$25.9,$20000000,$20
Australia,Fox,55,69,Fish Out of Water,Adventure,2642,5602,46.69,161.80,208.49,78.00,267.30%,14.8,,,,,$46694000,,$129.4,$78000000,$78
Baby Mama,Independent,63,59,Discovery,Comedy,2543,6845,60.32,3.70,64.02,70.00,91.46%,17.41,,,,,$60321790,,$63.9,$70000000,$70
Babylon A.D.,Fox,7,32,quest,Action,3390,2798,22.53,47.68,70.21,45.00,156.03%,9.5,,,,,$22531698,,$70.6,$45000000,$45
Bangkok Dangerous,Lionsgate,9,33,pursuit,Action,2650,2937,15.30,31.30,46.60,45.00,103.55%,7.8,,,,,$15298133,,$39.4,$45000000,$45
"Be Kind, Rewind",New Line,65,57,Comedy,Comedy,808,5013,11.18,19.40,30.58,20.00,152.88%,4.05,,,,,$11175164,,$29.3,$20000000,$20
